Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac35,RecInac40,RecInac45,RecInac50,RecInac75,RecInac100,RecInac200,Compound Name,Seal Resistance,Capacitance
B08,T,-1.067168E-10,-5.103849E-11,-4.794525E-11,-4.794525E-11,-1.113567E-10,-4.639863E-11,-4.794525E-11,-4.330539E-11,NMDG60/2,1.041347E+9,1.474550E-11
C08,T,-2.722053E-10,-2.412729E-10,-2.428195E-10,-2.381796E-10,-2.490060E-10,-2.366330E-10,-2.381796E-10,-2.520992E-10,NMDG60/2,4.520927E+8,1.038565E-11
D08,T,-1.608486E-10,-1.407425E-10,-1.438357E-10,-1.438357E-10,-1.407425E-10,-1.299162E-10,-1.500222E-10,-1.422891E-10,NMDG60/2,9.113679E+8,8.712041E-12
E08,F,5.103849E-11,-5.258511E-11,-6.186483E-11,0.000000E+0,1.546621E-11,4.485201E-11,5.258511E-11,7.269118E-11,NMDG60/2,4.803759E+7,7.556072E-11
F08,F,-6.341146E-11,-5.567835E-11,-5.722497E-11,-5.413173E-11,-5.877159E-11,-5.413173E-11,-4.794525E-11,-5.413173E-11,NMDG60/2,NaN,NaN
G08,F,-9.279725E-12,9.279725E-12,6.186484E-12,-7.733104E-12,-1.082635E-11,0.000000E+0,-3.093242E-12,-6.186484E-12,NMDG60/2,3.717480E+8,1.742014E-11
H08,T,-1.840479E-10,-1.515689E-10,-1.546621E-10,-1.422891E-10,-1.577553E-10,-1.732215E-10,-1.716749E-10,-1.732215E-10,NMDG60/2,9.359202E+9,6.150294E-12
I08,T,-6.619538E-10,-5.444106E-10,-5.722497E-10,-5.969957E-10,-6.294747E-10,-6.155551E-10,-6.356612E-10,-6.341146E-10,NMDG60/2,7.496563E+8,1.919164E-11
J08,T,-3.835620E-10,-3.510829E-10,-3.418032E-10,-3.309769E-10,-3.309769E-10,-3.448965E-10,-3.634559E-10,-3.356167E-10,NMDG60/2,3.514780E+9,1.189506E-11
K08,T,-1.361026E-10,-4.330539E-11,-4.485201E-11,-4.949187E-11,-6.031822E-11,-4.949187E-11,-6.186483E-11,-6.805132E-11,NMDG60/2,2.501875E+8,8.420837E-12
